"YEAR" "TRIAL" "LOCATION" "TRIAL_ID" "YEAR_LOCATION" "BLOCK" "LINE_ID" "YIELD" "GERMPLASM_TYPE" "GENOTYPE_FILE"
"1998" "E1-7" "UEPL" "1998_E1-7_UEPL" "1998-UEPL" "1" "GID_9411" 4054.16666666667 "Indica" "IND"
"1998" "E1-7" "UEPL" "1998_E1-7_UEPL" "1998-UEPL" "1" "GID_10396" 6370.83333333333 "Tropical Japonica" "JAP"
"1998" "E1-7" "UEPL" "1998_E1-7_UEPL" "1998-UEPL" "2" "GID_9411" 3258.33333333333 "Indica" "IND"
"1998" "E1-7" "UEPL" "1998_E1-7_UEPL" "1998-UEPL" "2" "GID_10396" 6033.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "1" "GID_9411" 4920.83333333333 "Indica" "IND"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "1" "GID_5306" 3908.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "1" "GID_10396" 5691.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "2" "GID_5306" 6450 "Tropical Japonica" "JAP"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "2" "GID_10396" 5120.83333333333 "Tropical Japonica" "JAP"
"1998" "E2-1" "UEPL" "1998_E2-1_UEPL" "1998-UEPL" "3" "GID_9411" 5387.5 "Indica" "IND"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "1" "GID_9411" 5454.16666666667 "Indica" "IND"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "1" "GID_5306" 4525 "Tropical Japonica" "JAP"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "1" "GID_10396" 6425 "Tropical Japonica" "JAP"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "2" "GID_9411" 4537.5 "Indica" "IND"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "2" "GID_5306" 2620.83333333333 "Tropical Japonica" "JAP"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "2" "GID_10396" 6325 "Tropical Japonica" "JAP"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "3" "GID_9411" 5391.66666666667 "Indica" "IND"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "3" "GID_5306" 4408.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-2" "UEPL" "1998_E2-2_UEPL" "1998-UEPL" "3" "GID_10396" 5304.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "1" "GID_9411" 6391.66666666667 "Indica" "IND"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "1" "GID_12700" 4687.5 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "1" "GID_10396" 5379.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "1" "GID_343" 5916.66666666667 "Temperate Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "1" "GID_13324" 5395.83333333333 "Temperate Japonica" "JAP"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "2" "GID_9411" 5054.16666666667 "Indica" "IND"
"1998" "E2-3" "UEPL" "1998_E2-3_UEPL" "1998-UEPL" "2" "GID_12700" 4037.5 "Tropical Japonica" "JAP"
